Treatments,min_current_fps,max_current_fps,mean_current_fps,mean_allocated_ram,mean_average_fps,mean_reserved_ram,mean_mono_ram,mean_cpu,mean_slider,median_slider,max_slider,AmbientOcclusion,Bloom,ChromaticAberration,ContactShadows,Fog,MicroShadowing,MotionBlur,ReflectionProbe,ScreenSpaceReflection,ScreenSpaceRefraction,Tonemapping,Vignette,WhiteBalance
" ReflectionProbe,Tonemapping,Bloom,WhiteBalance,ContactShadows ",25.78263,56.75369,35.887786190476184,142.56541428571433,39.87281476190476,179.3516,22.006325714285712,11.830361428571425,-33.51474137619047,-40.95238,-59.52382,0,1,0,1,0,0,0,1,0,0,1,0,1
" ScreenSpaceReflection,Fog,ContactShadows,ReflectionProbe,Vignette,MicroShadowing ",13.63436,17.12986,15.066979047619048,143.2612142857143,39.791483809523804,182.58969523809523,20.870723333333338,6.417410857142858,-56.00907204761905,-54.76191,-100.0,0,0,0,1,1,1,0,1,1,0,0,1,0
" Vignette,Fog,ChromaticAberration,Bloom ",11.97397,17.23547,14.459185,143.5120083333333,39.78910916666667,183.3516,20.025389166666667,6.358507,-50.396829,-57.619055,-68.57143,0,1,1,0,1,0,0,0,0,0,0,1,0
" MicroShadowing,MotionBlur,WhiteBalance,ChromaticAberration ",27.11423,44.20749,35.005115555555555,144.31407777777775,39.86936666666666,182.90715555555553,18.269313888888888,11.458329999999997,51.90476261111111,54.28571,91.42859,0,0,1,0,0,1,1,0,0,0,0,0,1
" Fog,Tonemapping,AmbientOcclusion,ContactShadows,WhiteBalance,ScreenSpaceRefraction ",13.92422,25.61856,16.781055,144.69229,39.798179,182.95159999999998,18.233595,9.114582999999998,-37.6666694,-44.28572,-60.0,1,0,0,1,1,0,0,0,0,1,1,0,1
" MicroShadowing,Tonemapping,Bloom,WhiteBalance,ContactShadows,AmbientOcclusion ",26.52344,44.3459,33.510687499999996,145.3730833333333,39.86353083333333,183.3516,22.30599083333333,10.9375,54.84126915833334,54.047615,100.0,1,1,0,1,0,1,0,0,0,0,1,0,1
" Bloom,ReflectionProbe,MotionBlur,AmbientOcclusion ",26.99857,48.43623,36.483618947368406,146.96314210526316,39.87514210526316,183.3516,17.659951578947368,9.224232105263157,35.087717678947364,42.85715,66.66666,1,1,0,0,0,0,1,1,0,0,0,0,0
" Tonemapping,ScreenSpaceReflection,ChromaticAberration,Fog ",12.59303,13.68732,13.142814999999999,146.83756666666667,39.783966666666664,182.01826666666668,17.567708333333332,5.208333,-54.0476205,-61.19048000000001,-80.95238,0,0,1,0,1,0,0,0,1,0,1,0,0
" AmbientOcclusion,Vignette,Tonemapping,ChromaticAberration ",26.3522,46.45782,34.88078210526315,147.8849684210526,39.86888,183.3516,21.644531052631578,11.588539999999997,75.98997536842106,100.0,100.0,1,0,1,0,0,0,0,0,0,0,1,1,0
" Bloom,MicroShadowing,WhiteBalance,ContactShadows,ReflectionProbe ",26.3894,44.33234,33.956846428571424,148.6445107142857,39.865271428571425,183.3516,18.024135714285713,9.756328071428568,17.17686855,13.09524,39.04762,0,1,0,1,0,1,0,1,0,0,0,0,1
